Price,Close,High,Low,Open,Volume
Ticker,AAP,AAP,AAP,AAP,AAP
Date,,,,,
2021-04-19,172.3187255859375,175.56749382676423,172.1486915653296,173.25845340379072,869200
2021-04-20,173.54486083984375,177.67070220586805,170.8599318898823,177.20531069745672,1772900
2021-04-21,178.87890625,181.26849129937378,174.02813640948696,174.02813640948696,1220800
2021-04-22,179.2637481689453,179.99762160318454,176.44456474739093,178.10027629606193,983100
2021-04-23,178.7715301513672,180.2392908539192,176.55199257449104,179.87234726421727,519700
2021-04-26,176.43563842773438,178.5388383286502,175.70176491643437,178.1629498975567,497700
2021-04-27,176.5609130859375,178.2434728019214,176.36401721890732,177.706481590702,578400
2021-04-28,176.87417602539062,178.34193665666834,175.53171153374927,176.28348837156722,516700
2021-04-29,179.60385131835938,180.37353154256002,177.3753688977856,178.99527394195943,750300
2021-04-30,179.13845825195312,181.20585130571632,178.19873041217318,178.89681082886582,544700
2021-05-03,180.659912109375,182.24402394594068,180.19452062084216,180.19452062084216,780700
2021-05-04,182.70941162109375,183.64913949531694,180.75836978402052,183.4790918082545,714500
2021-05-05,181.51014709472656,183.3090582559726,179.5769949466361,182.67361905364706,832400
2021-05-06,182.71836853027344,183.36275257233297,180.8478713014154,182.745216727338,513700
2021-05-07,182.9958038330078,183.45223682646255,181.5727948037773,181.59068449714493,392500
2021-05-10,186.68309020996094,188.10609915090325,183.3000811227661,183.3000811227661,999600
2021-05-11,182.76312255859375,186.10138044940533,180.63307452085488,186.0924219460923,741200
2021-05-12,180.59725952148438,184.28457112194806,180.13188168326192,183.24639534821293,735400
2021-05-13,183.02267456054688,183.47910761019136,178.66414384443704,180.13190460028605,479300
2021-05-14,181.51014709472656,184.77681888924386,180.0155382640864,184.15032453395628,602500
2021-05-17,183.09425354003906,183.2553427194304,180.79415788841786,182.49462105632475,825300
2021-05-18,179.03103637695312,183.31798010237702,178.98629849112152,183.1300290881217,800800
2021-05-19,174.14447021484375,178.69095093863137,171.54008620162284,178.12711156398996,1973200
2021-05-20,176.26556396484375,177.19634688202797,172.82885855428665,174.25186746793483,980500
2021-05-21,174.4666748046875,177.6527881143318,173.79544260778198,176.77571520079303,707200
2021-05-24,170.62721252441406,174.4577096904189,170.50191639865704,174.44876484438393,1085500
